lexer_form	qeqchi_form	token	spanish	source_note	source_url
b'ar	B'ar	PREGUNTA	donde	Q'eqchi' Talking Dictionary: B'ar = donde	https://talkingdictionary.swarthmore.edu/qeqchi/
laa'in	Laa'in	SUJETO	yo	Q'eqchi' Talking Dictionary: Laa'in = yo	https://talkingdictionary.swarthmore.edu/qeqchi/
a'an	A'an	SUJETO	el	Q'eqchi' Talking Dictionary: A'an = el	https://talkingdictionary.swarthmore.edu/qeqchi/
xnawb'al	Xnawb'al	ACCION	saber	Q'eqchi' Talking Dictionary: Xnawb'al = saber	https://talkingdictionary.swarthmore.edu/qeqchi/
yehok	Yehok	ACCION	decir	Q'eqchi' Talking Dictionary: Yehok = decir	https://talkingdictionary.swarthmore.edu/qeqchi/
chalk	Chalk	ACCION	venir	Q'eqchi' Talking Dictionary: Chalk = venir	https://talkingdictionary.swarthmore.edu/qeqchi/
b'ichank	B'ichank	ACCION	cantar	Q'eqchi' Talking Dictionary: B'ichank = cantar	https://talkingdictionary.swarthmore.edu/qeqchi/
aatinob'aal	Aatinob'aal	OBJETO	idioma	Q'eqchi' Talking Dictionary: Aatinob'aal = idioma	https://talkingdictionary.swarthmore.edu/qeqchi/
ochoch	Ochoch	OBJETO	casa	Q'eqchi' Talking Dictionary: Ochoch = casa	https://talkingdictionary.swarthmore.edu/qeqchi/
xul	Xul	OBJETO	animal	Q'eqchi' Talking Dictionary: Xul = animal	https://talkingdictionary.swarthmore.edu/qeqchi/
